Input_R1,Input_R2,D7_R1,D7_R2,D14_R1,D14_R2
BTG2_crRNA0165:165-191_T14_0.9479_0.747666862219219,369,497,298,457,212,1083
BTG2_crRNA0166:166-192_T15_0.9474_0.74746158039684,339,515,302,358,383,362
BTG2_crRNA0167:167-193_T3_0.991_0.776973177142109,649,693,529,667,442,828
BTG2_crRNA0168:168-194_T4_0.9904_0.776973177142109,424,567,375,426,259,486
BTG2_crRNA0169:169-195_T18_0.9107_0.734228828223227,546,703,415,629,281,549
BTG2_crRNA0171:171-197_T16_0.9458_0.746792432443199,574,801,360,673,279,496
BTG2_crRNA0172:172-198_T20_0.8974_0.729610567476309,582,744,456,644,299,740
BTG2_crRNA0190:190-216_B23_0.01435_0.407604903857493,759,929,694,898,944,1136
BTG2_crRNA0253:253-279_B19_0.01222_0.404704325999743,658,906,575,625,318,392
BTG2_crRNA0297:297-323_T12_0.9495_0.748622909746712,784,988,489,851,393,761
BTG2_crRNA0298:298-324_T1_0.9989_0.813146060114473,681,908,596,645,394,641
BTG2_crRNA0325:325-351_B15_0.009033_0.397193076259026,918,1088,643,1029,436,887
BTG2_crRNA0328:328-354_B17_0.01116_0.404156507171967,673,800,584,919,688,807
BTG2_crRNA0338:338-364_B29_0.01966_0.414710513646756,685,1157,539,915,378,1396
BTG2_crRNA0340:340-366_B33_0.02179_0.416521611058274,695,942,664,811,698,822
BTG2_crRNA0341:341-367_B9_0.004782_0.378471946931838,900,1066,694,1113,525,1298
BTG2_crRNA0346:346-372_B27_0.01647_0.409013207552904,754,1103,623,1047,385,876
BTG2_crRNA0389:389-415_T8_0.9772_0.76437396906793,568,839,432,722,302,583
BTG2_crRNA0403:403-429_T19_0.9102_0.733950980515662,472,817,483,630,459,433
BTG2_crRNA0407:407-433_T9_0.9756_0.761777718906195,711,775,474,792,414,729
BTG2_crRNA0422:422-448_T5_0.9878_0.772237655441997,691,895,418,591,370,403
BTG2_crRNA0423:423-449_T10_0.9692_0.758227150996154,653,729,455,591,225,493
BTG2_crRNA0424:424-450_T6_0.983_0.767176063342073,674,801,542,630,292,484
BTG2_crRNA0479:479-505_T11_0.9554_0.749409442423918,691,725,489,659,443,703
BTG2_crRNA0495:495-521_B35_0.02285_0.416813437544082,903,1169,714,987,578,1166
BTG2_crRNA0496:496-522_B7_0.003188_0.36857641153784,721,925,579,768,524,930
BTG2_crRNA0498:498-524_B5_0.002125_0.365076481802871,665,918,435,701,314,548
BTG3_crRNA0266:407-433_B14_0.1253_0.537585032981423,671,888,526,807,601,564
BTG3_crRNA0312:453-479_T19_0.9491_0.728204702041115,709,985,554,844,382,828
BTG3_crRNA0324:465-491_B6_0.1018_0.516094951152833,615,809,498,716,585,526
BTG3_crRNA0325:466-492_B20_0.1477_0.553128668207436,445,609,482,520,493,310
BTG3_crRNA0326:467-493_B1_0.02342_0.405367226258768,436,606,349,476,214,502
BTG3_crRNA0327:468-494_B3_0.05804_0.476114113724731,569,835,504,626,409,459
BTG3_crRNA0361:502-528_T2_0.998_0.786440643966531,439,672,389,643,244,508
BTG3_crRNA0363:504-530_T7_0.9766_0.742649808451249,644,801,401,556,489,521
BTG3_crRNA0389:530-556_B17_0.1334_0.544522077691117,663,822,595,825,363,633
