"rank_cctop","rank_flash","rank_cpick","rank_chopchop","rank_crisprverse","lfc"
52,22,41,73,25,-0.112
10,43,13,1,5,-1.715
53,33,6,49,98,0.003
1,2,3,6,6,-0.403
286,239,92,278,44,-0.408
81,139,75,165,31,-1.36
46,29,13,134,49,-2.616
36,6,2,56,6,-1.476
26,23,72,58,8,-1.465
2,11,10,10,2,-3.366
42,33,64,55,270,-2.514
5,1,16,4,104,-2.682
200,195,67,213,23,-2.719
51,131,130,2,26,-1.749
107,119,31,75,5,-0.714
94,17,55,84,47,-0.853
227,268,249,259,74,-0.434
67,45,39,107,27,-0.271
105,52,25,164,8,-0.54
184,70,84,118,38,-0.309
242,261,50,144,64,-0.314
301,252,39,297,13,-1.268
78,81,33,68,14,-3.123
203,112,50,238,347,-0.408
159,55,194,92,3,-1.172
131,74,171,197,184,-0.644
72,27,19,83,7,-0.957
122,106,11,109,12,-2.522
93,14,40,7,19,-0.242
16,44,23,51,4,-1.022
10,43,2,58,2,-0.328
36,17,53,45,47,0.661
92,90,52,97,27,-0.644
39,29,15,54,31,0.128
42,58,41,68,16,-0.827
367,63,5,136,1126,-2.626
966,819,972,806,60,-1.641
158,28,11,137,1127,-2.065
1056,861,1060,879,54,-2.115
125,126,196,162,153,-0.781
596,252,617,609,197,-1.246
328,83,17,140,48,-3.503
89,259,14,199,1143,-2.505
82,68,19,65,11,-1.447
75,62,18,67,13,-1.437
10,16,9,13,9,-1.445
47,5,7,33,7,-2.007
42,46,13,37,86,-0.133
54,54,29,44,4,-1.094
53,53,23,21,8,-1.45
56,14,28,39,21,-0.317
59,76,55,38,34,-0.496
4,10,15,20,8,-0.258
55,52,24,36,3,-2.193
82,66,60,83,23,-0.95
44,44,82,25,84,-0.05
6,28,5,46,19,-1.985
1,6,2,2,10,-0.698
58,55,22,53,13,-0.754
27,9,23,29,14,-1.146
13,12,3,22,6,-1.564
12,5,18,3,35,-0.174
39,1,6,18,1,-1.55
36,17,3,19,2,-1.134
26,10,17,23,3,-1.292
18,12,24,27,20,0.177
20,6,15,3,15,-0.591
35,36,27,29,5,-2.881
23,30,43,24,19,-1
48,63,33,30,17,-1.385
53,59,26,56,8,-0.673
1,30,41,7,15,-0.366
7,33,6,26,73,-1.557
21,36,3,4,7,-3.054
40,12,4,37,4,-1.919
16,76,20,29,16,-3.643
52,28,33,39,2,-1.472
28,16,16,21,12,-0.52
26,53,52,51,23,-0.679
85,24,17,32,7,-1.191
75,11,3,29,5,-0.59
11,43,6,23,11,-0.282
62,69,15,73,6,-1.331
6,4,14,17,18,-2.255
55,7,26,15,14,-2.666
34,6,12,130,19,-0.479
168,121,18,146,2,-0.769
51,4,37,17,10,-0.061
23,24,31,14,6,-1.197
160,117,88,161,3,-1.419
102,10,4,16,5,-1.724
10,1,11,7,9,-1.344
110,127,100,60,25,0.027
143,128,10,134,1,-0.115
17,1,26,17,8,-2.853
15,35,3,6,3,-0.658
85,85,27,84,28,-0.853
14,61,12,4,20,-0.312
41,24,18,59,9,-1.329
22,4,7,26,4,-2.915
27,19,38,61,46,-0.13
57,29,31,23,31,-0.554
133,145,47,150,25,-1.351
6,94,2,10,1,-2.153
98,50,59,100,62,-1.037
88,29,3,38,12,-0.765
4,6,7,12,33,-0.864
43,12,29,46,66,-1.122
49,107,13,43,5,-1.223
29,26,111,31,73,-1.008
197,209,214,173,10,-0.867
203,191,75,138,66,-0.781
106,71,78,96,7,-0.869
104,24,49,73,15,-2.208
183,180,82,234,4,-0.428
97,22,161,54,19,-2.086
173,174,206,236,291,0.014
154,288,60,214,22,-1.009
126,117,69,125,1,-0.764
140,125,7,114,8,-0.226
34,12,13,153,9,-0.383
22,54,12,19,15,-3.056
138,160,75,63,36,-1.262
1,5,95,3,161,-0.276
165,139,80,166,21,-0.779
33,43,8,37,13,-0.377
60,20,19,57,39,-2.967
16,35,24,12,22,-0.534
11,30,28,9,24,-0.995
76,62,10,49,18,-0.492
24,38,27,8,37,-0.168
18,24,100,22,116,0.331
5,2,5,22,2,-3.23
10,31,42,19,17,-1.5
64,17,19,99,8,-0.905
52,19,71,60,15,-0.699
67,55,7,34,10,-1.825
28,76,43,46,31,-2.268
4,30,4,21,5,-2.863
69,80,38,64,35,-1.686
164,122,28,163,4,-0.897
141,110,13,115,23,-0.717
64,66,2,110,1,-1.33
25,35,40,63,18,-0.871
7,45,7,4,3,-0.948
19,25,4,5,141,-1.159
39,12,6,45,24,-0.81
69,69,41,98,16,-1.972
87,78,56,89,7,-1.175
92,112,49,77,38,-0.065
34,14,1,68,4,-0.135
62,26,13,21,12,0.062
101,87,12,83,71,0.289
4,1,8,1,3,-0.036
52,60,14,56,2,-0.162
3,10,2,3,215,0.012
53,2,8,1,214,-1.207
6,94,11,27,23,-1.407
127,72,9,195,1,-1.668
200,177,82,120,11,-1.339
17,6,21,77,47,-1.38
65,17,7,76,20,-1.145
130,37,94,156,57,-0.776
150,78,54,107,21,-1.572
18,11,4,50,5,-0.445
29,8,18,41,13,-0.373
